# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 31570845903901
#
# Children      Self  Command          Shared Object               Symbol                                        
# ........  ........  ...............  ..........................  ..............................................
#
     1.20%     0.00%  iou-wrk-3070     [kernel.vmlinux]            [k] io_wqe_worker
     1.20%     0.00%  iou-wrk-3070     [kernel.vmlinux]            [k] ret_from_fork
     1.20%     0.01%  iou-wrk-3117     [kernel.vmlinux]            [k] io_worker_handle_work
     1.20%     0.00%  iou-wrk-3120     [kernel.vmlinux]            [k] io_wqe_worker
     1.20%     0.00%  iou-wrk-3120     [kernel.vmlinux]            [k] ret_from_fork
     1.20%     0.00%  iou-wrk-3087     [kernel.vmlinux]            [k] io_wqe_worker
     1.20%     0.00%  iou-wrk-3087     [kernel.vmlinux]            [k] ret_from_fork
     1.20%     0.00%  iou-wrk-3112     [kernel.vmlinux]            [k] io_wqe_worker
     1.20%     0.00%  iou-wrk-3112     [kernel.vmlinux]            [k] ret_from_fork
     1.20%     0.01%  iou-wrk-3127     [kernel.vmlinux]            [k] io_worker_handle_work
     1.20%     0.01%  iou-wrk-3120     [kernel.vmlinux]            [k] io_worker_handle_work
     1.20%     0.01%  iou-wrk-3087     [kernel.vmlinux]            [k] io_worker_handle_work
     1.20%     0.00%  iou-wrk-3074     [kernel.vmlinux]            [k] io_wqe_worker
     1.20%     0.00%  iou-wrk-3074     [kernel.vmlinux]            [k] ret_from_fork
     1.20%     0.00%  iou-wrk-3112     [kernel.vmlinux]            [k] io_worker_handle_work
     1.20%     0.00%  iou-wrk-3083     [kernel.vmlinux]            [k] io_wqe_worker
     1.20%     0.00%  iou-wrk-3083     [kernel.vmlinux]            [k] ret_from_fork
     1.20%     0.00%  iou-wrk-3089     [kernel.vmlinux]            [k] io_wqe_worker
     1.20%     0.00%  iou-wrk-3089     [kernel.vmlinux]            [k] ret_from_fork
     1.20%     0.01%  iou-wrk-3074     [kernel.vmlinux]            [k] io_worker_handle_work
     1.20%     0.01%  iou-wrk-3089     [kernel.vmlinux]            [k] io_worker_handle_work
     1.20%     0.00%  iou-wrk-3125     [kernel.vmlinux]            [k] io_wqe_worker
     1.20%     0.00%  iou-wrk-3125     [kernel.vmlinux]            [k] ret_from_fork
     1.20%     0.01%  iou-wrk-3125     [kernel.vmlinux]            [k] io_worker_handle_work
     1.20%     0.01%  iou-wrk-3083     [kernel.vmlinux]            [k] io_worker_handle_work
     1.20%     0.00%  iou-wrk-3101     [kernel.vmlinux]            [k] io_wqe_worker
     1.20%     0.00%  iou-wrk-3101     [kernel.vmlinux]            [k] ret_from_fork
     1.20%     0.00%  iou-wrk-3110     [kernel.vmlinux]            [k] io_wq_submit_work
     1.20%     0.01%  iou-wrk-3070     [kernel.vmlinux]            [k] io_worker_handle_work
     1.19%     0.00%  iou-wrk-3088     [kernel.vmlinux]            [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3088     [kernel.vmlinux]            [k] ret_from_fork
     1.19%     0.00%  iou-wrk-3062     [kernel.vmlinux]            [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3062     [kernel.vmlinux]            [k] ret_from_fork
     1.19%     0.00%  iou-wrk-3110     [kernel.vmlinux]            [k] io_issue_sqe
     1.19%     0.00%  iou-wrk-3067     [kernel.vmlinux]            [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3067     [kernel.vmlinux]            [k] ret_from_fork
     1.19%     0.01%  iou-wrk-3067     [kernel.vmlinux]            [k] io_worker_handle_work
     1.19%     0.00%  iou-wrk-3091     [kernel.vmlinux]            [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3091     [kernel.vmlinux]            [k] ret_from_fork
     1.19%     0.01%  iou-wrk-3062     [kernel.vmlinux]            [k] io_worker_handle_work
     1.19%     0.01%  iou-wrk-3091     [kernel.vmlinux]            [k] io_worker_handle_work
     1.19%     0.00%  iou-wrk-3110     [kernel.vmlinux]            [k] io_read
