# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 897K of event 'cycles'
# Event count (approx.): 95051495853802
#
# Children      Self  Command          Shared Object               Symbol                                                 
# ........  ........  ...............  ..........................  .......................................................
#
     0.00%     0.00%  iou-wrk-3109     [kernel.vmlinux]            [k] pick_next_task_fair
     0.00%     0.00%  iou-wrk-3082     [kernel.vmlinux]            [k] ext4_map_blocks
     0.00%     0.00%  iou-wrk-3134     [kernel.vmlinux]            [k] charge_memcg
     0.00%     0.00%  iou-wrk-3100     [kernel.vmlinux]            [k] try_to_wake_up
     0.00%     0.00%  iou-wrk-3087     [kernel.vmlinux]            [k] __wake_up_common
     0.00%     0.00%  iou-wrk-3078     [kernel.vmlinux]            [k] psi_group_change
     0.00%     0.00%  iou-wrk-3093     [kernel.vmlinux]            [k] mem_cgroup_charge_statistics.isra.0
     0.00%     0.00%  iou-wrk-3081     [kernel.vmlinux]            [k] submit_bio_checks
     0.00%     0.00%  iou-wrk-3092     [kernel.vmlinux]            [k] submit_bio_checks
     0.00%     0.00%  iou-wrk-3127     [kernel.vmlinux]            [k] psi_task_switch
     0.00%     0.00%  iou-wrk-3094     [kernel.vmlinux]            [k] __slab_free
     0.00%     0.00%  iou-wrk-3111     [kernel.vmlinux]            [k] pick_next_task_fair
     0.00%     0.00%  iou-wrk-3073     [kernel.vmlinux]            [k] asm_sysvec_apic_timer_interrupt
     0.00%     0.00%  iou-wrk-3137     [kernel.vmlinux]            [k] __wake_up_common_lock
     0.00%     0.00%  iou-wrk-3088     [kernel.vmlinux]            [k] charge_memcg
     0.00%     0.00%  iou-wrk-3063     [kernel.vmlinux]            [k] autoremove_wake_function
     0.00%     0.00%  iou-wrk-3063     [kernel.vmlinux]            [k] try_to_wake_up
     0.00%     0.00%  iou-wrk-3087     [kernel.vmlinux]            [k] submit_bio_checks
     0.00%     0.00%  iou-wrk-3141     [kernel.vmlinux]            [k] asm_sysvec_apic_timer_interrupt
     0.00%     0.00%  iou-wrk-3064     [kernel.vmlinux]            [k] ext4_map_blocks
     0.00%     0.00%  iou-wrk-3088     [kernel.vmlinux]            [k] iov_iter_restore
     0.00%     0.00%  iou-wrk-3132     [kernel.vmlinux]            [k] mem_cgroup_charge_statistics.isra.0
     0.00%     0.00%  iou-wrk-3107     [kernel.vmlinux]            [k] __next_zones_zonelist
     0.00%     0.00%  iou-wrk-3093     [kernel.vmlinux]            [k] __slab_free
     0.00%     0.00%  iou-wrk-3099     [kernel.vmlinux]            [k] psi_group_change
     0.00%     0.00%  iou-wrk-3138     [kernel.vmlinux]            [k] __wake_up_common_lock
     0.00%     0.00%  iou-wrk-3139     [kernel.vmlinux]            [k] free_pcppages_bulk
     0.00%     0.00%  iou-wrk-3121     [kernel.vmlinux]            [k] charge_memcg
     0.00%     0.00%  iou-wrk-3083     [kernel.vmlinux]            [k] workingset_eviction
     0.00%     0.00%  iou-wrk-3122     [kernel.vmlinux]            [k] free_pcppages_bulk
     0.00%     0.00%  iou-wrk-3136     [kernel.vmlinux]            [k] __mod_lruvec_page_state
     0.00%     0.00%  iou-wrk-3098     [kernel.vmlinux]            [k] free_pcppages_bulk
     0.00%     0.00%  iou-wrk-3100     [kernel.vmlinux]            [k] __mod_lruvec_page_state
     0.00%     0.00%  iou-wrk-3096     [kernel.vmlinux]            [k] workingset_eviction
     0.00%     0.00%  iou-wrk-3133     [kernel.vmlinux]            [k] __cond_resched
     0.00%     0.00%  iou-wrk-3090     [kernel.vmlinux]            [k] free_pcppages_bulk
     0.00%     0.00%  iou-wrk-3137     [kernel.vmlinux]            [k] sysvec_apic_timer_interrupt
     0.00%     0.00%  iou-wrk-3106     [kernel.vmlinux]            [k] workingset_eviction
     0.00%     0.00%  iou-wrk-3100     [kernel.vmlinux]            [k] workingset_eviction
     0.00%     0.00%  iou-wrk-3083     [kernel.vmlinux]            [k] lru_add_drain_cpu
     0.00%     0.00%  iou-wrk-3105     [kernel.vmlinux]            [k] workingset_eviction
     0.00%     0.00%  iou-wrk-3080     [kernel.vmlinux]            [k] ttwu_do_activate
     0.00%     0.00%  iou-wrk-3095     [kernel.vmlinux]            [k] xas_init_marks
     0.00%     0.00%  iou-wrk-3132     [kernel.vmlinux]            [k] workingset_eviction
     0.00%     0.00%  iou-wrk-3080     [kernel.vmlinux]            [k] asm_sysvec_apic_timer_interrupt
     0.00%     0.00%  kcompactd0       [kernel.vmlinux]            [k] migrate_pages
     0.00%     0.00%  iou-wrk-3084     [kernel.vmlinux]            [k] __sysvec_apic_timer_interrupt
     0.00%     0.00%  iou-wrk-3074     [kernel.vmlinux]            [k] hrtimer_interrupt
     0.00%     0.00%  iou-wrk-3119     [kernel.vmlinux]            [k] iov_iter_restore
     0.00%     0.00%  iou-wrk-3079     [kernel.vmlinux]            [k] __cond_resched
     0.00%     0.00%  iou-wrk-3128     [kernel.vmlinux]            [k] iov_iter_restore
     0.00%     0.00%  iou-wrk-3127     [kernel.vmlinux]            [k] update_load_avg
     0.00%     0.00%  iou-wrk-3106     [kernel.vmlinux]            [k] lru_add_drain_cpu
     0.00%     0.00%  iou-wrk-3110     [kernel.vmlinux]            [k] workingset_eviction
     0.00%     0.00%  iou-wrk-3122     [kernel.vmlinux]            [k] submit_bio_checks
     0.00%     0.00%  iou-wrk-3072     [kernel.vmlinux]            [k] io_assign_current_work
     0.00%     0.00%  iou-wrk-3102     [kernel.vmlinux]            [k] psi_task_switch
     0.00%     0.00%  iou-wrk-3068     [kernel.vmlinux]            [k] iov_iter_restore
     0.00%     0.00%  iou-wrk-3130     [kernel.vmlinux]            [k] charge_memcg
     0.00%     0.00%  iou-wrk-3077     [kernel.vmlinux]            [k] asm_sysvec_apic_timer_interrupt
     0.00%     0.00%  iou-wrk-3139     [kernel.vmlinux]            [k] __next_zones_zonelist
     0.00%     0.00%  iou-wrk-3086     [kernel.vmlinux]            [k] __cond_resched
     0.00%     0.00%  iou-wrk-3124     [kernel.vmlinux]            [k] submit_bio_checks
     0.00%     0.00%  iou-wrk-3078     [kernel.vmlinux]            [k] __slab_free
     0.00%     0.00%  iou-wrk-3133     [kernel.vmlinux]            [k] dequeue_task_fair
     0.00%     0.00%  iou-wrk-3138     [kernel.vmlinux]            [k] psi_task_switch
     0.00%     0.00%  iou-wrk-3123     [kernel.vmlinux]            [k] psi_task_switch
     0.00%     0.00%  iou-wrk-3092     [kernel.vmlinux]            [k] io_assign_current_work
     0.00%     0.00%  iou-wrk-3083     [kernel.vmlinux]            [k] psi_group_change
     0.00%     0.00%  iou-wrk-3105     [kernel.vmlinux]            [k] __sysvec_apic_timer_interrupt
     0.00%     0.00%  iou-wrk-3077     [kernel.vmlinux]            [k] xas_init_marks
     0.00%     0.00%  iou-wrk-3115     [kernel.vmlinux]            [k] iov_iter_restore
     0.00%     0.00%  iou-wrk-3072     [kernel.vmlinux]            [k] asm_sysvec_apic_timer_interrupt
     0.00%     0.00%  iou-wrk-3120     [kernel.vmlinux]            [k] __mod_lruvec_page_state
     0.00%     0.00%  iou-wrk-3133     [kernel.vmlinux]            [k] asm_sysvec_apic_timer_interrupt
     0.00%     0.00%  iou-wrk-3068     [kernel.vmlinux]            [k] __check_block_validity.constprop.0
     0.00%     0.00%  iou-wrk-3110     [kernel.vmlinux]            [k] pick_next_task_fair
     0.00%     0.00%  iou-wrk-3109     [kernel.vmlinux]            [k] lru_add_drain_cpu
     0.00%     0.00%  iou-wrk-3139     [kernel.vmlinux]            [k] io_cqring_ev_posted
     0.00%     0.00%  iou-wrk-3101     [kernel.vmlinux]            [k] iov_iter_restore
     0.00%     0.00%  iou-wrk-3107     [kernel.vmlinux]            [k] __wake_up_common
     0.00%     0.00%  iou-wrk-3099     [kernel.vmlinux]            [k] __check_block_validity.constprop.0
     0.00%     0.00%  iou-wrk-3127     [kernel.vmlinux]            [k] psi_group_change
     0.00%     0.00%  iou-wrk-3113     [kernel.vmlinux]            [k] io_assign_current_work
     0.00%     0.00%  iou-wrk-3087     [kernel.vmlinux]            [k] mem_cgroup_charge_statistics.isra.0
     0.00%     0.00%  iou-wrk-3067     [kernel.vmlinux]            [k] charge_memcg
     0.00%     0.00%  iou-wrk-3124     [kernel.vmlinux]            [k] dequeue_task_fair
     0.00%     0.00%  iou-wrk-3135     [kernel.vmlinux]            [k] __wake_up_common
     0.00%     0.00%  iou-wrk-3118     [kernel.vmlinux]            [k] dequeue_task_fair
     0.00%     0.00%  iou-wrk-3079     [kernel.vmlinux]            [k] iov_iter_restore
     0.00%     0.00%  iou-wrk-3136     [kernel.vmlinux]            [k] iov_iter_restore
     0.00%     0.00%  iou-wrk-3136     [kernel.vmlinux]            [k] submit_bio_checks
     0.00%     0.00%  iou-wrk-3116     [kernel.vmlinux]            [k] __wake_up_common
     0.00%     0.00%  iou-wrk-3117     [kernel.vmlinux]            [k] psi_task_switch
     0.00%     0.00%  iou-wrk-3084     [kernel.vmlinux]            [k] __wake_up_common
     0.00%     0.00%  iou-wrk-3122     [kernel.vmlinux]            [k] psi_group_change
     0.00%     0.00%  iou-wrk-3088     [kernel.vmlinux]            [k] pick_next_task_fair
     0.00%     0.00%  iou-wrk-3106     [kernel.vmlinux]            [k] sysvec_apic_timer_interrupt
     0.00%     0.00%  iou-wrk-3103     [kernel.vmlinux]            [k] __sysvec_apic_timer_interrupt
     0.00%     0.00%  iou-wrk-3141     [kernel.vmlinux]            [k] mem_cgroup_charge_statistics.isra.0
     0.00%     0.00%  iou-wrk-3072     [kernel.vmlinux]            [k] free_pcppages_bulk
     0.00%     0.00%  iou-wrk-3099     [kernel.vmlinux]            [k] free_pcppages_bulk
     0.00%     0.00%  swapper          [kernel.vmlinux]            [k] rebalance_domains
     0.00%     0.00%  iou-wrk-3078     [kernel.vmlinux]            [k] pick_next_task_fair
     0.00%     0.00%  iou-wrk-3132     [kernel.vmlinux]            [k] submit_bio_checks
     0.00%     0.00%  iou-wrk-3129     [kernel.vmlinux]            [k] free_pcppages_bulk
     0.00%     0.00%  iou-wrk-3124     [kernel.vmlinux]            [k] workingset_eviction
     0.00%     0.00%  iou-wrk-3101     [kernel.vmlinux]            [k] xas_clear_mark
     0.00%     0.00%  iou-wrk-3101     [kernel.vmlinux]            [k] xas_init_marks
     0.00%     0.00%  iou-wrk-3073     [kernel.vmlinux]            [k] free_pcppages_bulk
     0.00%     0.00%  iou-wrk-3069     [kernel.vmlinux]            [k] workingset_eviction
     0.00%     0.00%  iou-wrk-3137     [kernel.vmlinux]            [k] xas_init_marks
     0.00%     0.00%  iou-wrk-3137     [kernel.vmlinux]            [k] __sysvec_apic_timer_interrupt
     0.00%     0.00%  iou-wrk-3072     [kernel.vmlinux]            [k] workingset_eviction
     0.00%     0.00%  iou-wrk-3073     [kernel.vmlinux]            [k] move_pages_to_lru
     0.00%     0.00%  iou-wrk-3123     [kernel.vmlinux]            [k] asm_sysvec_apic_timer_interrupt
     0.00%     0.00%  iou-wrk-3082     [kernel.vmlinux]            [k] charge_memcg
     0.00%     0.00%  iou-wrk-3095     [kernel.vmlinux]            [k] xas_clear_mark
     0.00%     0.00%  iou-wrk-3071     [kernel.vmlinux]            [k] sysvec_apic_timer_interrupt
     0.00%     0.00%  iou-wrk-3083     [kernel.vmlinux]            [k] sysvec_apic_timer_interrupt
     0.00%     0.00%  iou-wrk-3083     [kernel.vmlinux]            [k] asm_sysvec_apic_timer_interrupt
     0.00%     0.00%  iou-wrk-3091     [kernel.vmlinux]            [k] dequeue_task_fair
     0.00%     0.00%  iou-wrk-3094     [kernel.vmlinux]            [k] asm_sysvec_apic_timer_interrupt
     0.00%     0.00%  iou-wrk-3115     [kernel.vmlinux]            [k] __cond_resched
     0.00%     0.00%  iou-wrk-3128     [kernel.vmlinux]            [k] __wake_up_common
     0.00%     0.00%  iou-wrk-3120     [kernel.vmlinux]            [k] asm_sysvec_apic_timer_interrupt
     0.00%     0.00%  iou-wrk-3133     [kernel.vmlinux]            [k] autoremove_wake_function
     0.00%     0.00%  iou-wrk-3133     [kernel.vmlinux]            [k] try_to_wake_up
     0.00%     0.00%  iou-wrk-3127     [kernel.vmlinux]            [k] asm_sysvec_apic_timer_interrupt
     0.00%     0.00%  iou-wrk-3114     [kernel.vmlinux]            [k] update_load_avg
     0.00%     0.00%  iou-wrk-3124     [kernel.vmlinux]            [k] sysvec_apic_timer_interrupt
     0.00%     0.00%  iou-wrk-3085     [kernel.vmlinux]            [k] asm_sysvec_apic_timer_interrupt
     0.00%     0.00%  iou-wrk-3093     [kernel.vmlinux]            [k] try_to_wake_up
     0.00%     0.00%  iou-wrk-3093     [kernel.vmlinux]            [k] autoremove_wake_function
     0.00%     0.00%  iou-wrk-3099     [kernel.vmlinux]            [k] charge_memcg
     0.00%     0.00%  iou-wrk-3139     [kernel.vmlinux]            [k] __mem_cgroup_charge
     0.00%     0.00%  iou-wrk-3106     [kernel.vmlinux]            [k] dequeue_task_fair
     0.00%     0.00%  iou-wrk-3086     [kernel.vmlinux]            [k] asm_sysvec_apic_timer_interrupt
     0.00%     0.00%  iou-wrk-3091     [kernel.vmlinux]            [k] psi_group_change
     0.00%     0.00%  iou-wrk-3101     [kernel.vmlinux]            [k] charge_memcg
     0.00%     0.00%  iou-wrk-3083     [kernel.vmlinux]            [k] autoremove_wake_function
     0.00%     0.00%  iou-wrk-3102     [kernel.vmlinux]            [k] update_load_avg
     0.00%     0.00%  iou-wrk-3126     [kernel.vmlinux]            [k] update_process_times
     0.00%     0.00%  iou-wrk-3079     [kernel.vmlinux]            [k] update_load_avg
     0.00%     0.00%  iou-wrk-3079     [kernel.vmlinux]            [k] sysvec_apic_timer_interrupt
     0.00%     0.00%  iou-wrk-3067     [kernel.vmlinux]            [k] submit_bio_checks
     0.00%     0.00%  iou-wrk-3079     [kernel.vmlinux]            [k] autoremove_wake_function
     0.00%     0.00%  iou-wrk-3093     [kernel.vmlinux]            [k] io_assign_current_work
     0.00%     0.00%  iou-wrk-3093     [kernel.vmlinux]            [k] iov_iter_restore
     0.00%     0.00%  iou-wrk-3095     [kernel.vmlinux]            [k] __wake_up_common
     0.00%     0.00%  iou-wrk-3108     [kernel.vmlinux]            [k] dequeue_task_fair
     0.00%     0.00%  iou-wrk-3083     [kernel.vmlinux]            [k] update_load_avg
     0.00%     0.00%  iou-wrk-3080     [kernel.vmlinux]            [k] __check_block_validity.constprop.0
     0.00%     0.00%  iou-wrk-3118     [kernel.vmlinux]            [k] iov_iter_restore
     0.00%     0.00%  iou-wrk-3086     [kernel.vmlinux]            [k] __wake_up_common
     0.00%     0.00%  iou-wrk-3118     [kernel.vmlinux]            [k] sysvec_apic_timer_interrupt
     0.00%     0.00%  iou-wrk-3101     [kernel.vmlinux]            [k] __next_zones_zonelist
     0.00%     0.00%  iou-wrk-3114     [kernel.vmlinux]            [k] lru_add_drain_cpu
     0.00%     0.00%  iou-wrk-3106     [kernel.vmlinux]            [k] iov_iter_restore
     0.00%     0.00%  iou-wrk-3088     [kernel.vmlinux]            [k] __cond_resched
     0.00%     0.00%  iou-wrk-3075     [kernel.vmlinux]            [k] submit_bio_checks
     0.00%     0.00%  iou-wrk-3104     [kernel.vmlinux]            [k] sysvec_apic_timer_interrupt
     0.00%     0.00%  iou-wrk-3113     [kernel.vmlinux]            [k] psi_task_switch
     0.00%     0.00%  iou-wrk-3104     [kernel.vmlinux]            [k] psi_task_switch
     0.00%     0.00%  iou-wrk-3109     [kernel.vmlinux]            [k] io_assign_current_work
     0.00%     0.00%  iou-wrk-3095     [kernel.vmlinux]            [k] io_assign_current_work
     0.00%     0.00%  iou-wrk-3097     [kernel.vmlinux]            [k] submit_bio_checks
     0.00%     0.00%  iou-wrk-3083     [kernel.vmlinux]            [k] mem_cgroup_charge_statistics.isra.0
     0.00%     0.00%  iou-wrk-3068     [kernel.vmlinux]            [k] dequeue_task_fair
     0.00%     0.00%  iou-wrk-3139     [kernel.vmlinux]            [k] io_assign_current_work
     0.00%     0.00%  iou-wrk-3129     [kernel.vmlinux]            [k] iov_iter_restore
     0.00%     0.00%  iou-wrk-3112     [kernel.vmlinux]            [k] submit_bio_checks
     0.00%     0.00%  iou-wrk-3129     [kernel.vmlinux]            [k] psi_group_change
     0.00%     0.00%  iou-wrk-3107     [kernel.vmlinux]            [k] __slab_free
     0.00%     0.00%  iou-wrk-3071     [kernel.vmlinux]            [k] submit_bio_checks
     0.00%     0.00%  iou-wrk-3140     [kernel.vmlinux]            [k] autoremove_wake_function
     0.00%     0.00%  fio              [kernel.vmlinux]            [k] __swap_entry_free
     0.00%     0.00%  fio              [kernel.vmlinux]            [k] free_swap_and_cache
     0.00%     0.00%  iou-wrk-3064     [kernel.vmlinux]            [k] io_assign_current_work
     0.00%     0.00%  iou-wrk-3137     [kernel.vmlinux]            [k] dequeue_task_fair
     0.00%     0.00%  iou-wrk-3120     [kernel.vmlinux]            [k] psi_task_switch
     0.00%     0.00%  iou-wrk-3124     [kernel.vmlinux]            [k] update_load_avg
     0.00%     0.00%  iou-wrk-3074     [kernel.vmlinux]            [k] psi_group_change
     0.00%     0.00%  iou-wrk-3102     [kernel.vmlinux]            [k] io_assign_current_work
     0.00%     0.00%  iou-wrk-3065     [kernel.vmlinux]            [k] ext4_map_blocks
     0.00%     0.00%  iou-wrk-3127     [kernel.vmlinux]            [k] iov_iter_restore
     0.00%     0.00%  iou-wrk-3088     [kernel.vmlinux]            [k] __slab_free
     0.00%     0.00%  iou-wrk-3123     [kernel.vmlinux]            [k] workingset_eviction
     0.00%     0.00%  iou-wrk-3126     [kernel.vmlinux]            [k] io_assign_current_work
     0.00%     0.00%  iou-wrk-3131     [kernel.vmlinux]            [k] submit_bio_checks
     0.00%     0.00%  iou-wrk-3114     [kernel.vmlinux]            [k] xas_init_marks
     0.00%     0.00%  iou-wrk-3104     [kernel.vmlinux]            [k] workingset_eviction
