# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 720K of event 'cycles'
# Event count (approx.): 63497295424487
#
# Children      Self  Command          Shared Object       Symbol                                          
# ........  ........  ...............  ..................  ................................................
#
     0.57%     0.01%  iou-wrk-3165     [kernel.vmlinux]    [k] io_worker_handle_work
     0.57%     0.00%  iou-wrk-3186     [kernel.vmlinux]    [k] io_wq_submit_work
     0.57%     0.00%  iou-wrk-3199     [kernel.vmlinux]    [k] io_read
     0.57%     0.00%  iou-wrk-3216     [kernel.vmlinux]    [k] io_issue_sqe
     0.57%     0.01%  iou-wrk-3185     [kernel.vmlinux]    [k] io_worker_handle_work
     0.56%     0.00%  iou-wrk-3186     [kernel.vmlinux]    [k] io_issue_sqe
     0.56%     0.00%  iou-wrk-3186     [kernel.vmlinux]    [k] io_read
     0.56%     0.01%  iou-wrk-3225     [kernel.vmlinux]    [k] io_worker_handle_work
     0.56%     0.01%  iou-wrk-3166     [kernel.vmlinux]    [k] io_worker_handle_work
     0.56%     0.00%  iou-wrk-3216     [kernel.vmlinux]    [k] io_read
     0.56%     0.01%  iou-wrk-3228     [kernel.vmlinux]    [k] io_worker_handle_work
     0.56%     0.01%  iou-wrk-3190     [kernel.vmlinux]    [k] io_worker_handle_work
     0.56%     0.01%  iou-wrk-3193     [kernel.vmlinux]    [k] io_worker_handle_work
     0.56%     0.01%  iou-wrk-3217     [kernel.vmlinux]    [k] io_worker_handle_work
     0.56%     0.00%  iou-wrk-3155     [kernel.vmlinux]    [k] io_wq_submit_work
     0.56%     0.00%  iou-wrk-3221     [kernel.vmlinux]    [k] io_wq_submit_work
     0.56%     0.00%  iou-wrk-3191     [kernel.vmlinux]    [k] io_wq_submit_work
     0.56%     0.00%  iou-wrk-3155     [kernel.vmlinux]    [k] io_issue_sqe
     0.56%     0.00%  iou-wrk-3209     [kernel.vmlinux]    [k] io_wq_submit_work
     0.56%     0.00%  iou-wrk-3203     [kernel.vmlinux]    [k] io_wq_submit_work
     0.56%     0.00%  iou-wrk-3203     [kernel.vmlinux]    [k] io_issue_sqe
     0.56%     0.00%  iou-wrk-3209     [kernel.vmlinux]    [k] io_issue_sqe
     0.56%     0.00%  iou-wrk-3151     [kernel.vmlinux]    [k] io_wq_submit_work
     0.56%     0.00%  iou-wrk-3191     [kernel.vmlinux]    [k] io_issue_sqe
     0.56%     0.00%  iou-wrk-3155     [kernel.vmlinux]    [k] io_read
     0.56%     0.00%  iou-wrk-3221     [kernel.vmlinux]    [k] io_issue_sqe
     0.56%     0.01%  iou-wrk-3223     [kernel.vmlinux]    [k] io_worker_handle_work
     0.56%     0.00%  iou-wrk-3179     [kernel.vmlinux]    [k] io_wq_submit_work
     0.56%     0.00%  iou-wrk-3151     [kernel.vmlinux]    [k] io_issue_sqe
     0.56%     0.01%  iou-wrk-3206     [kernel.vmlinux]    [k] io_worker_handle_work
     0.56%     0.01%  iou-wrk-3156     [kernel.vmlinux]    [k] io_worker_handle_work
     0.56%     0.01%  iou-wrk-3204     [kernel.vmlinux]    [k] io_worker_handle_work
     0.56%     0.00%  iou-wrk-3203     [kernel.vmlinux]    [k] io_read
     0.56%     0.00%  iou-wrk-3221     [kernel.vmlinux]    [k] io_read
     0.56%     0.00%  iou-wrk-3191     [kernel.vmlinux]    [k] io_read
     0.56%     0.03%  iou-wrk-3229     [kernel.vmlinux]    [k] filemap_read
     0.56%     0.02%  iou-wrk-3167     [kernel.vmlinux]    [k] filemap_read
     0.56%     0.00%  iou-wrk-3179     [kernel.vmlinux]    [k] io_issue_sqe
     0.56%     0.00%  iou-wrk-3209     [kernel.vmlinux]    [k] io_read
     0.56%     0.02%  iou-wrk-3158     [kernel.vmlinux]    [k] filemap_read
     0.56%     0.00%  iou-wrk-3157     [kernel.vmlinux]    [k] io_wq_submit_work
     0.56%     0.00%  iou-wrk-3151     [kernel.vmlinux]    [k] io_read
     0.56%     0.00%  iou-wrk-3202     [kernel.vmlinux]    [k] io_wq_submit_work
     0.55%     0.00%  iou-wrk-3181     [kernel.vmlinux]    [k] io_wq_submit_work
     0.55%     0.00%  iou-wrk-3173     [kernel.vmlinux]    [k] io_wq_submit_work
     0.55%     0.00%  iou-wrk-3222     [kernel.vmlinux]    [k] io_wq_submit_work
     0.55%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] io_wq_submit_work
     0.55%     0.00%  iou-wrk-3157     [kernel.vmlinux]    [k] io_issue_sqe
     0.55%     0.00%  iou-wrk-3213     [kernel.vmlinux]    [k] io_wq_submit_work
     0.55%     0.00%  iou-wrk-3202     [kernel.vmlinux]    [k] io_issue_sqe
     0.55%     0.00%  iou-wrk-3173     [kernel.vmlinux]    [k] io_issue_sqe
     0.55%     0.00%  iou-wrk-3179     [kernel.vmlinux]    [k] io_read
     0.55%     0.00%  iou-wrk-3181     [kernel.vmlinux]    [k] io_issue_sqe
     0.55%     0.00%  iou-wrk-3170     [kernel.vmlinux]    [k] io_wq_submit_work
     0.55%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] io_issue_sqe
     0.55%     0.00%  iou-wrk-3222     [kernel.vmlinux]    [k] io_issue_sqe
     0.55%     0.00%  iou-wrk-3170     [kernel.vmlinux]    [k] io_issue_sqe
     0.55%     0.00%  iou-wrk-3213     [kernel.vmlinux]    [k] io_issue_sqe
     0.55%     0.00%  iou-wrk-3181     [kernel.vmlinux]    [k] io_read
     0.55%     0.00%  iou-wrk-3173     [kernel.vmlinux]    [k] io_read
     0.55%     0.00%  iou-wrk-3157     [kernel.vmlinux]    [k] io_read
     0.55%     0.00%  iou-wrk-3189     [kernel.vmlinux]    [k] io_wq_submit_work
     0.55%     0.00%  iou-wrk-3222     [kernel.vmlinux]    [k] io_read
     0.55%     0.00%  iou-wrk-3202     [kernel.vmlinux]    [k] io_read
     0.55%     0.00%  iou-wrk-3170     [kernel.vmlinux]    [k] io_read
     0.55%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] io_read
     0.55%     0.00%  iou-wrk-3213     [kernel.vmlinux]    [k] io_read
     0.55%     0.03%  iou-wrk-3177     [kernel.vmlinux]    [k] filemap_read
     0.55%     0.00%  iou-wrk-3189     [kernel.vmlinux]    [k] io_issue_sqe
     0.55%     0.00%  iou-wrk-3201     [kernel.vmlinux]    [k] io_wq_submit_work
     0.55%     0.02%  iou-wrk-3154     [kernel.vmlinux]    [k] filemap_read
     0.55%     0.00%  iou-wrk-3200     [kernel.vmlinux]    [k] io_wq_submit_work
     0.55%     0.00%  iou-wrk-3201     [kernel.vmlinux]    [k] io_issue_sqe
     0.55%     0.00%  iou-wrk-3230     [kernel.vmlinux]    [k] io_wq_submit_work
     0.55%     0.03%  iou-wrk-3180     [kernel.vmlinux]    [k] filemap_read
     0.55%     0.00%  iou-wrk-3200     [kernel.vmlinux]    [k] io_issue_sqe
     0.55%     0.00%  iou-wrk-3230     [kernel.vmlinux]    [k] io_issue_sqe
     0.55%     0.02%  iou-wrk-3187     [kernel.vmlinux]    [k] filemap_read
     0.55%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] io_wq_submit_work
     0.55%     0.53%  fio              [kernel.vmlinux]    [k] __update_load_avg_se
     0.55%     0.02%  iou-wrk-3184     [kernel.vmlinux]    [k] filemap_read
     0.55%     0.00%  iou-wrk-3189     [kernel.vmlinux]    [k] io_read
     0.55%     0.02%  iou-wrk-3164     [kernel.vmlinux]    [k] filemap_read
     0.55%     0.00%  iou-wrk-3195     [kernel.vmlinux]    [k] io_wq_submit_work
     0.55%     0.00%  iou-wrk-3201     [kernel.vmlinux]    [k] io_read
     0.54%     0.00%  iou-wrk-3230     [kernel.vmlinux]    [k] io_read
     0.54%     0.00%  iou-wrk-3183     [kernel.vmlinux]    [k] io_wq_submit_work
     0.54%     0.00%  iou-wrk-3200     [kernel.vmlinux]    [k] io_read
     0.54%     0.00%  iou-wrk-3195     [kernel.vmlinux]    [k] io_issue_sqe
     0.54%     0.00%  iou-wrk-3218     [kernel.vmlinux]    [k] io_wq_submit_work
     0.54%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] io_issue_sqe
     0.54%     0.00%  iou-wrk-3183     [kernel.vmlinux]    [k] io_issue_sqe
     0.54%     0.00%  iou-wrk-3218     [kernel.vmlinux]    [k] io_issue_sqe
     0.54%     0.00%  iou-wrk-3215     [kernel.vmlinux]    [k] io_wq_submit_work
     0.54%     0.00%  iou-wrk-3192     [kernel.vmlinux]    [k] io_wq_submit_work
     0.54%     0.00%  iou-wrk-3195     [kernel.vmlinux]    [k] io_read
     0.54%     0.00%  iou-wrk-3174     [kernel.vmlinux]    [k] io_wq_submit_work
     0.54%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] io_read
     0.54%     0.00%  iou-wrk-3197     [kernel.vmlinux]    [k] io_wq_submit_work
     0.54%     0.03%  iou-wrk-3199     [kernel.vmlinux]    [k] filemap_read
     0.54%     0.02%  iou-wrk-3178     [kernel.vmlinux]    [k] filemap_read
     0.54%     0.00%  iou-wrk-3188     [kernel.vmlinux]    [k] io_wq_submit_work
     0.54%     0.00%  iou-wrk-3215     [kernel.vmlinux]    [k] io_issue_sqe
     0.54%     0.00%  iou-wrk-3152     [kernel.vmlinux]    [k] io_wq_submit_work
     0.54%     0.00%  iou-wrk-3192     [kernel.vmlinux]    [k] io_issue_sqe
     0.54%     0.00%  iou-wrk-3183     [kernel.vmlinux]    [k] io_read
     0.54%     0.00%  iou-wrk-3174     [kernel.vmlinux]    [k] io_issue_sqe
     0.54%     0.00%  iou-wrk-3218     [kernel.vmlinux]    [k] io_read
     0.54%     0.00%  iou-wrk-3226     [kernel.vmlinux]    [k] io_wq_submit_work
     0.54%     0.00%  iou-wrk-3208     [kernel.vmlinux]    [k] io_wq_submit_work
     0.54%     0.00%  iou-wrk-3188     [kernel.vmlinux]    [k] io_issue_sqe
     0.54%     0.00%  iou-wrk-3197     [kernel.vmlinux]    [k] io_issue_sqe
     0.54%     0.00%  iou-wrk-3205     [kernel.vmlinux]    [k] io_wq_submit_work
     0.54%     0.00%  iou-wrk-3152     [kernel.vmlinux]    [k] io_issue_sqe
     0.54%     0.00%  iou-wrk-3215     [kernel.vmlinux]    [k] io_read
     0.54%     0.00%  iou-wrk-3192     [kernel.vmlinux]    [k] io_read
     0.54%     0.02%  iou-wrk-3207     [kernel.vmlinux]    [k] filemap_read
     0.54%     0.00%  iou-wrk-3153     [kernel.vmlinux]    [k] io_wq_submit_work
     0.54%     0.00%  iou-wrk-3226     [kernel.vmlinux]    [k] io_issue_sqe
     0.54%     0.00%  iou-wrk-3208     [kernel.vmlinux]    [k] io_issue_sqe
     0.54%     0.00%  iou-wrk-3169     [kernel.vmlinux]    [k] io_wq_submit_work
     0.54%     0.00%  iou-wrk-3220     [kernel.vmlinux]    [k] io_wq_submit_work
     0.54%     0.00%  iou-wrk-3197     [kernel.vmlinux]    [k] io_read
     0.54%     0.03%  fio              [kernel.vmlinux]    [k] raw_spin_rq_lock_nested.constprop.0
     0.54%     0.00%  iou-wrk-3196     [kernel.vmlinux]    [k] io_wq_submit_work
     0.54%     0.00%  iou-wrk-3172     [kernel.vmlinux]    [k] io_wq_submit_work
     0.54%     0.00%  iou-wrk-3205     [kernel.vmlinux]    [k] io_issue_sqe
     0.54%     0.00%  iou-wrk-3174     [kernel.vmlinux]    [k] io_read
     0.54%     0.00%  iou-wrk-3214     [kernel.vmlinux]    [k] io_wq_submit_work
     0.54%     0.00%  iou-wrk-3153     [kernel.vmlinux]    [k] io_issue_sqe
     0.54%     0.00%  iou-wrk-3169     [kernel.vmlinux]    [k] io_issue_sqe
     0.54%     0.00%  iou-wrk-3172     [kernel.vmlinux]    [k] io_issue_sqe
     0.54%     0.00%  iou-wrk-3196     [kernel.vmlinux]    [k] io_issue_sqe
     0.54%     0.00%  iou-wrk-3152     [kernel.vmlinux]    [k] io_read
     0.54%     0.00%  iou-wrk-3188     [kernel.vmlinux]    [k] io_read
     0.54%     0.00%  iou-wrk-3220     [kernel.vmlinux]    [k] io_issue_sqe
     0.54%     0.00%  iou-wrk-3208     [kernel.vmlinux]    [k] io_read
     0.54%     0.00%  iou-wrk-3226     [kernel.vmlinux]    [k] io_read
     0.54%     0.00%  iou-wrk-3214     [kernel.vmlinux]    [k] io_issue_sqe
     0.54%     0.00%  iou-wrk-3210     [kernel.vmlinux]    [k] io_wq_submit_work
     0.54%     0.02%  iou-wrk-3186     [kernel.vmlinux]    [k] filemap_read
     0.54%     0.00%  iou-wrk-3168     [kernel.vmlinux]    [k] io_wq_submit_work
     0.53%     0.00%  iou-wrk-3205     [kernel.vmlinux]    [k] io_read
     0.53%     0.00%  iou-wrk-3169     [kernel.vmlinux]    [k] io_read
     0.53%     0.00%  iou-wrk-3172     [kernel.vmlinux]    [k] io_read
     0.53%     0.00%  iou-wrk-3210     [kernel.vmlinux]    [k] io_issue_sqe
     0.53%     0.00%  iou-wrk-3224     [kernel.vmlinux]    [k] io_wq_submit_work
     0.53%     0.00%  iou-wrk-3212     [kernel.vmlinux]    [k] io_wq_submit_work
     0.53%     0.00%  iou-wrk-3153     [kernel.vmlinux]    [k] io_read
     0.53%     0.00%  iou-wrk-3219     [kernel.vmlinux]    [k] io_wq_submit_work
     0.53%     0.00%  iou-wrk-3168     [kernel.vmlinux]    [k] io_issue_sqe
     0.53%     0.00%  iou-wrk-3214     [kernel.vmlinux]    [k] io_read
     0.53%     0.00%  iou-wrk-3196     [kernel.vmlinux]    [k] io_read
     0.53%     0.02%  iou-wrk-3216     [kernel.vmlinux]    [k] filemap_read
     0.53%     0.00%  iou-wrk-3220     [kernel.vmlinux]    [k] io_read
     0.53%     0.00%  iou-wrk-3224     [kernel.vmlinux]    [k] io_issue_sqe
     0.53%     0.02%  iou-wrk-3203     [kernel.vmlinux]    [k] filemap_read
     0.53%     0.00%  iou-wrk-3210     [kernel.vmlinux]    [k] io_read
     0.53%     0.00%  iou-wrk-3219     [kernel.vmlinux]    [k] io_issue_sqe
     0.53%     0.00%  iou-wrk-3198     [kernel.vmlinux]    [k] io_wq_submit_work
     0.53%     0.00%  iou-wrk-3212     [kernel.vmlinux]    [k] io_issue_sqe
     0.53%     0.00%  iou-wrk-3176     [kernel.vmlinux]    [k] io_wq_submit_work
     0.53%     0.00%  iou-wrk-3171     [kernel.vmlinux]    [k] io_wq_submit_work
     0.53%     0.00%  iou-wrk-3198     [kernel.vmlinux]    [k] io_issue_sqe
     0.53%     0.00%  iou-wrk-3182     [kernel.vmlinux]    [k] io_wq_submit_work
     0.53%     0.00%  iou-wrk-3160     [kernel.vmlinux]    [k] io_wq_submit_work
     0.53%     0.00%  iou-wrk-3211     [kernel.vmlinux]    [k] io_wq_submit_work
     0.53%     0.00%  iou-wrk-3168     [kernel.vmlinux]    [k] io_read
     0.53%     0.00%  iou-wrk-3165     [kernel.vmlinux]    [k] io_wq_submit_work
     0.53%     0.00%  iou-wrk-3185     [kernel.vmlinux]    [k] io_wq_submit_work
     0.53%     0.00%  iou-wrk-3162     [kernel.vmlinux]    [k] io_wq_submit_work
     0.53%     0.03%  iou-wrk-3155     [kernel.vmlinux]    [k] filemap_read
     0.53%     0.00%  iou-wrk-3176     [kernel.vmlinux]    [k] io_issue_sqe
     0.53%     0.00%  iou-wrk-3224     [kernel.vmlinux]    [k] io_read
     0.53%     0.00%  iou-wrk-3219     [kernel.vmlinux]    [k] io_read
     0.53%     0.00%  iou-wrk-3166     [kernel.vmlinux]    [k] io_wq_submit_work
     0.53%     0.00%  iou-wrk-3182     [kernel.vmlinux]    [k] io_issue_sqe
     0.53%     0.00%  iou-wrk-3227     [kernel.vmlinux]    [k] io_wq_submit_work
     0.53%     0.00%  iou-wrk-3171     [kernel.vmlinux]    [k] io_issue_sqe
     0.53%     0.00%  iou-wrk-3160     [kernel.vmlinux]    [k] io_issue_sqe
     0.53%     0.00%  iou-wrk-3185     [kernel.vmlinux]    [k] io_issue_sqe
     0.53%     0.02%  iou-wrk-3221     [kernel.vmlinux]    [k] filemap_read
     0.53%     0.00%  iou-wrk-3165     [kernel.vmlinux]    [k] io_issue_sqe
     0.53%     0.00%  iou-wrk-3212     [kernel.vmlinux]    [k] io_read
     0.53%     0.00%  iou-wrk-3162     [kernel.vmlinux]    [k] io_issue_sqe
     0.53%     0.02%  iou-wrk-3191     [kernel.vmlinux]    [k] filemap_read
     0.53%     0.00%  iou-wrk-3211     [kernel.vmlinux]    [k] io_issue_sqe
     0.53%     0.00%  iou-wrk-3159     [kernel.vmlinux]    [k] io_wq_submit_work
     0.53%     0.00%  iou-wrk-3160     [kernel.vmlinux]    [k] io_read
     0.53%     0.00%  iou-wrk-3166     [kernel.vmlinux]    [k] io_issue_sqe
     0.53%     0.00%  iou-wrk-3198     [kernel.vmlinux]    [k] io_read
     0.53%     0.03%  iou-wrk-3209     [kernel.vmlinux]    [k] filemap_read
     0.53%     0.00%  iou-wrk-3176     [kernel.vmlinux]    [k] io_read
     0.53%     0.00%  iou-wrk-3225     [kernel.vmlinux]    [k] io_wq_submit_work
     0.53%     0.00%  iou-wrk-3185     [kernel.vmlinux]    [k] io_read
     0.53%     0.00%  iou-wrk-3171     [kernel.vmlinux]    [k] io_read
     0.53%     0.00%  iou-wrk-3162     [kernel.vmlinux]    [k] io_read
     0.53%     0.00%  iou-wrk-3227     [kernel.vmlinux]    [k] io_issue_sqe
     0.53%     0.00%  iou-wrk-3175     [kernel.vmlinux]    [k] io_wq_submit_work
     0.53%     0.00%  iou-wrk-3225     [kernel.vmlinux]    [k] io_issue_sqe
     0.53%     0.00%  iou-wrk-3194     [kernel.vmlinux]    [k] io_wq_submit_work
     0.53%     0.00%  iou-wrk-3166     [kernel.vmlinux]    [k] io_read
     0.53%     0.00%  iou-wrk-3159     [kernel.vmlinux]    [k] io_issue_sqe
     0.53%     0.00%  iou-wrk-3182     [kernel.vmlinux]    [k] io_read
     0.53%     0.02%  iou-wrk-3151     [kernel.vmlinux]    [k] filemap_read
     0.53%     0.00%  iou-wrk-3211     [kernel.vmlinux]    [k] io_read
     0.53%     0.00%  iou-wrk-3165     [kernel.vmlinux]    [k] io_read
     0.53%     0.00%  iou-wrk-3225     [kernel.vmlinux]    [k] io_read
     0.53%     0.00%  iou-wrk-3228     [kernel.vmlinux]    [k] io_wq_submit_work
     0.53%     0.00%  iou-wrk-3175     [kernel.vmlinux]    [k] io_issue_sqe
     0.53%     0.00%  iou-wrk-3194     [kernel.vmlinux]    [k] io_issue_sqe
     0.53%     0.00%  iou-wrk-3193     [kernel.vmlinux]    [k] io_wq_submit_work
     0.52%     0.00%  iou-wrk-3228     [kernel.vmlinux]    [k] io_issue_sqe
     0.52%     0.00%  iou-wrk-3227     [kernel.vmlinux]    [k] io_read
     0.52%     0.02%  iou-wrk-3157     [kernel.vmlinux]    [k] filemap_read
     0.52%     0.00%  iou-wrk-3159     [kernel.vmlinux]    [k] io_read
     0.52%     0.00%  iou-wrk-3223     [kernel.vmlinux]    [k] io_wq_submit_work
     0.52%     0.00%  iou-wrk-3217     [kernel.vmlinux]    [k] io_wq_submit_work
     0.52%     0.00%  iou-wrk-3175     [kernel.vmlinux]    [k] io_read
     0.52%     0.00%  iou-wrk-3190     [kernel.vmlinux]    [k] io_wq_submit_work
     0.52%     0.00%  iou-wrk-3193     [kernel.vmlinux]    [k] io_issue_sqe
     0.52%     0.02%  iou-wrk-3179     [kernel.vmlinux]    [k] filemap_read
     0.52%     0.02%  iou-wrk-3222     [kernel.vmlinux]    [k] filemap_read
     0.52%     0.02%  iou-wrk-3202     [kernel.vmlinux]    [k] filemap_read
     0.52%     0.03%  iou-wrk-3181     [kernel.vmlinux]    [k] filemap_read
     0.52%     0.00%  iou-wrk-3194     [kernel.vmlinux]    [k] io_read
     0.52%     0.00%  iou-wrk-3223     [kernel.vmlinux]    [k] io_issue_sqe
     0.52%     0.00%  iou-wrk-3217     [kernel.vmlinux]    [k] io_issue_sqe
     0.52%     0.03%  iou-wrk-3161     [kernel.vmlinux]    [k] filemap_read
     0.52%     0.00%  iou-wrk-3190     [kernel.vmlinux]    [k] io_issue_sqe
     0.52%     0.00%  iou-wrk-3228     [kernel.vmlinux]    [k] io_read
     0.52%     0.00%  iou-wrk-3193     [kernel.vmlinux]    [k] io_read
     0.52%     0.02%  iou-wrk-3201     [kernel.vmlinux]    [k] filemap_read
     0.52%     0.00%  iou-wrk-3217     [kernel.vmlinux]    [k] io_read
     0.52%     0.00%  iou-wrk-3206     [kernel.vmlinux]    [k] io_wq_submit_work
     0.52%     0.02%  iou-wrk-3173     [kernel.vmlinux]    [k] filemap_read
     0.52%     0.00%  iou-wrk-3206     [kernel.vmlinux]    [k] io_issue_sqe
     0.52%     0.00%  iou-wrk-3156     [kernel.vmlinux]    [k] io_wq_submit_work
     0.52%     0.03%  iou-wrk-3170     [kernel.vmlinux]    [k] filemap_read
     0.52%     0.00%  iou-wrk-3223     [kernel.vmlinux]    [k] io_read
     0.52%     0.00%  iou-wrk-3190     [kernel.vmlinux]    [k] io_read
     0.52%     0.02%  iou-wrk-3189     [kernel.vmlinux]    [k] filemap_read
     0.52%     0.00%  iou-wrk-3156     [kernel.vmlinux]    [k] io_issue_sqe
     0.52%     0.00%  iou-wrk-3204     [kernel.vmlinux]    [k] io_wq_submit_work
     0.52%     0.03%  iou-wrk-3213     [kernel.vmlinux]    [k] filemap_read
     0.52%     0.00%  iou-wrk-3206     [kernel.vmlinux]    [k] io_read
     0.52%     0.02%  iou-wrk-3230     [kernel.vmlinux]    [k] filemap_read
     0.52%     0.02%  iou-wrk-3200     [kernel.vmlinux]    [k] filemap_read
     0.52%     0.00%  iou-wrk-3204     [kernel.vmlinux]    [k] io_issue_sqe
     0.52%     0.00%  iou-wrk-3156     [kernel.vmlinux]    [k] io_read
     0.51%     0.03%  iou-wrk-3195     [kernel.vmlinux]    [k] filemap_read
     0.51%     0.00%  iou-wrk-3204     [kernel.vmlinux]    [k] io_read
     0.51%     0.03%  iou-wrk-3215     [kernel.vmlinux]    [k] filemap_read
     0.51%     0.02%  iou-wrk-3183     [kernel.vmlinux]    [k] filemap_read
     0.51%     0.03%  iou-wrk-3218     [kernel.vmlinux]    [k] filemap_read
     0.51%     0.03%  iou-wrk-3174     [kernel.vmlinux]    [k] filemap_read
     0.51%     0.03%  iou-wrk-3197     [kernel.vmlinux]    [k] filemap_read
     0.51%     0.02%  iou-wrk-3152     [kernel.vmlinux]    [k] filemap_read
     0.51%     0.03%  iou-wrk-3205     [kernel.vmlinux]    [k] filemap_read
     0.51%     0.02%  iou-wrk-3153     [kernel.vmlinux]    [k] filemap_read
     0.51%     0.02%  iou-wrk-3188     [kernel.vmlinux]    [k] filemap_read
     0.51%     0.03%  iou-wrk-3169     [kernel.vmlinux]    [k] filemap_read
     0.51%     0.03%  iou-wrk-3210     [kernel.vmlinux]    [k] filemap_read
     0.51%     0.03%  iou-wrk-3192     [kernel.vmlinux]    [k] filemap_read
     0.51%     0.03%  iou-wrk-3163     [kernel.vmlinux]    [k] filemap_read
     0.51%     0.03%  iou-wrk-3208     [kernel.vmlinux]    [k] filemap_read
     0.51%     0.03%  iou-wrk-3172     [kernel.vmlinux]    [k] filemap_read
     0.50%     0.02%  iou-wrk-3220     [kernel.vmlinux]    [k] filemap_read
     0.50%     0.02%  iou-wrk-3224     [kernel.vmlinux]    [k] filemap_read
     0.50%     0.03%  iou-wrk-3214     [kernel.vmlinux]    [k] filemap_read
     0.50%     0.47%  fio              [kernel.vmlinux]    [k] __switch_to
     0.50%     0.03%  iou-wrk-3226     [kernel.vmlinux]    [k] filemap_read
     0.50%     0.48%  fio              [kernel.vmlinux]    [k] _find_next_bit
     0.50%     0.02%  iou-wrk-3196     [kernel.vmlinux]    [k] filemap_read
     0.50%     0.02%  iou-wrk-3168     [kernel.vmlinux]    [k] filemap_read
     0.50%     0.03%  iou-wrk-3176     [kernel.vmlinux]    [k] filemap_read
     0.50%     0.02%  iou-wrk-3198     [kernel.vmlinux]    [k] filemap_read
     0.50%     0.03%  iou-wrk-3212     [kernel.vmlinux]    [k] filemap_read
