# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 894K of event 'cycles'
# Event count (approx.): 94501789192307
#
# Children      Self  Command          Shared Object         Symbol                                        
# ........  ........  ...............  ....................  ..............................................
#
     1.17%     0.00%  iou-wrk-3147     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3191     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3191     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3161     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3161     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3128     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3128     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3150     [kernel.vmlinux]      [k] io_worker_handle_work
     1.17%     0.00%  iou-wrk-3186     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3186     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3177     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3177     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3136     [kernel.vmlinux]      [k] io_worker_handle_work
     1.17%     0.00%  iou-wrk-3172     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3172     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3162     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3162     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3180     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3180     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3156     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3156     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.01%  iou-wrk-3151     [kernel.vmlinux]      [k] io_worker_handle_work
     1.17%     0.00%  iou-wrk-3134     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3134     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3193     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3193     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3153     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3153     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3181     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3181     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3164     [kernel.vmlinux]      [k] io_wq_submit_work
     1.17%     0.00%  iou-wrk-3178     [kernel.vmlinux]      [k] io_worker_handle_work
     1.17%     0.00%  iou-wrk-3152     [kernel.vmlinux]      [k] io_worker_handle_work
     1.17%     0.00%  iou-wrk-3164     [kernel.vmlinux]      [k] io_issue_sqe
     1.16%     0.00%  iou-wrk-3159     [kernel.vmlinux]      [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3159     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.01%  iou-wrk-3121     [kernel.vmlinux]      [k] io_worker_handle_work
     1.16%     0.01%  iou-wrk-3197     [kernel.vmlinux]      [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-3164     [kernel.vmlinux]      [k] io_read
     1.16%     0.00%  iou-wrk-3132     [kernel.vmlinux]      [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-3148     [kernel.vmlinux]      [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3148     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3192     [kernel.vmlinux]      [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3192     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3120     [kernel.vmlinux]      [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3120     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3187     [kernel.vmlinux]      [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-3176     [kernel.vmlinux]      [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3176     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3188     [kernel.vmlinux]      [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-3141     [kernel.vmlinux]      [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3141     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3145     [kernel.vmlinux]      [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3145     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3122     [kernel.vmlinux]      [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3122     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3160     [kernel.vmlinux]      [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3160     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3165     [kernel.vmlinux]      [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3165     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3158     [kernel.vmlinux]      [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3158     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3157     [kernel.vmlinux]      [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3157     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3183     [kernel.vmlinux]      [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3183     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.01%  iou-wrk-3135     [kernel.vmlinux]      [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-3175     [kernel.vmlinux]      [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3175     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3168     [kernel.vmlinux]      [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3168     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.01%  iou-wrk-3125     [kernel.vmlinux]      [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-3179     [kernel.vmlinux]      [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3179     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3174     [kernel.vmlinux]      [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3174     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3143     [kernel.vmlinux]      [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3143     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3146     [kernel.vmlinux]      [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3146     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3139     [kernel.vmlinux]      [k] io_wq_submit_work
     1.16%     0.00%  iou-wrk-3195     [kernel.vmlinux]      [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3195     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3182     [kernel.vmlinux]      [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3182     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3154     [kernel.vmlinux]      [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3154     [kernel.vmlinux]      [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3139     [kernel.vmlinux]      [k] io_issue_sqe
     1.15%     0.00%  iou-wrk-3190     [kernel.vmlinux]      [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3190     [kernel.vmlinux]      [k] ret_from_fork
     1.15%     0.00%  iou-wrk-3140     [kernel.vmlinux]      [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3140     [kernel.vmlinux]      [k] ret_from_fork
     1.15%     0.00%  iou-wrk-3171     [kernel.vmlinux]      [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3171     [kernel.vmlinux]      [k] ret_from_fork
     1.15%     0.00%  iou-wrk-3124     [kernel.vmlinux]      [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3124     [kernel.vmlinux]      [k] ret_from_fork
     1.15%     0.00%  iou-wrk-3139     [kernel.vmlinux]      [k] io_read
     1.15%     0.00%  iou-wrk-3173     [kernel.vmlinux]      [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3173     [kernel.vmlinux]      [k] ret_from_fork
     1.15%     0.00%  iou-wrk-3144     [kernel.vmlinux]      [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3144     [kernel.vmlinux]      [k] ret_from_fork
     1.15%     0.00%  iou-wrk-3149     [kernel.vmlinux]      [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3149     [kernel.vmlinux]      [k] ret_from_fork
     1.15%     0.01%  iou-wrk-3131     [kernel.vmlinux]      [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3123     [kernel.vmlinux]      [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3137     [kernel.vmlinux]      [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3137     [kernel.vmlinux]      [k] ret_from_fork
     1.15%     0.00%  iou-wrk-3170     [kernel.vmlinux]      [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3170     [kernel.vmlinux]      [k] ret_from_fork
     1.15%     0.01%  iou-wrk-3138     [kernel.vmlinux]      [k] io_worker_handle_work
     1.15%     0.01%  iou-wrk-3163     [kernel.vmlinux]      [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3133     [kernel.vmlinux]      [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3133     [kernel.vmlinux]      [k] ret_from_fork
     1.15%     0.01%  iou-wrk-3196     [kernel.vmlinux]      [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3189     [kernel.vmlinux]      [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3189     [kernel.vmlinux]      [k] ret_from_fork
     1.15%     0.00%  iou-wrk-3150     [kernel.vmlinux]      [k] io_wq_submit_work
     1.15%     0.00%  iou-wrk-3199     [kernel.vmlinux]      [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3199     [kernel.vmlinux]      [k] ret_from_fork
     1.15%     0.00%  iou-wrk-3127     [kernel.vmlinux]      [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3127     [kernel.vmlinux]      [k] ret_from_fork
     1.15%     0.01%  iou-wrk-3177     [kernel.vmlinux]      [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3130     [kernel.vmlinux]      [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3130     [kernel.vmlinux]      [k] ret_from_fork
     1.15%     0.01%  iou-wrk-3148     [kernel.vmlinux]      [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3184     [kernel.vmlinux]      [k] io_wq_submit_work
     1.15%     0.00%  iou-wrk-3150     [kernel.vmlinux]      [k] io_issue_sqe
     1.15%     0.00%  iou-wrk-3129     [kernel.vmlinux]      [k] io_wq_submit_work
     1.15%     0.00%  iou-wrk-3150     [kernel.vmlinux]      [k] io_read
     1.15%     0.00%  iou-wrk-3167     [kernel.vmlinux]      [k] io_wq_submit_work
     1.15%     0.00%  iou-wrk-3142     [kernel.vmlinux]      [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3142     [kernel.vmlinux]      [k] ret_from_fork
     1.15%     0.00%  iou-wrk-3155     [kernel.vmlinux]      [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3155     [kernel.vmlinux]      [k] ret_from_fork
     1.15%     0.00%  iou-wrk-3184     [kernel.vmlinux]      [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-3136     [kernel.vmlinux]      [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-3151     [kernel.vmlinux]      [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-3184     [kernel.vmlinux]      [k] io_read
     1.14%     0.00%  iou-wrk-3156     [kernel.vmlinux]      [k] io_worker_handle_work
     1.14%     0.01%  iou-wrk-3147     [kernel.vmlinux]      [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-3129     [kernel.vmlinux]      [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-3198     [kernel.vmlinux]      [k] io_wqe_worker
     1.14%     0.00%  iou-wrk-3198     [kernel.vmlinux]      [k] ret_from_fork
     1.14%     0.00%  iou-wrk-3167     [kernel.vmlinux]      [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-3186     [kernel.vmlinux]      [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-3136     [kernel.vmlinux]      [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-3194     [kernel.vmlinux]      [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-3129     [kernel.vmlinux]      [k] io_read
     1.14%     0.00%  iou-wrk-3166     [kernel.vmlinux]      [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-3167     [kernel.vmlinux]      [k] io_read
     1.14%     0.00%  iou-wrk-3152     [kernel.vmlinux]      [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-3132     [kernel.vmlinux]      [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-3151     [kernel.vmlinux]      [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-3185     [kernel.vmlinux]      [k] io_wqe_worker
     1.14%     0.00%  iou-wrk-3185     [kernel.vmlinux]      [k] ret_from_fork
     1.14%     0.00%  iou-wrk-3136     [kernel.vmlinux]      [k] io_read
     1.14%     0.00%  iou-wrk-3178     [kernel.vmlinux]      [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-3126     [kernel.vmlinux]      [k] io_wqe_worker
     1.14%     0.00%  iou-wrk-3126     [kernel.vmlinux]      [k] ret_from_fork
     1.14%     0.00%  iou-wrk-3161     [kernel.vmlinux]      [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-3152     [kernel.vmlinux]      [k] io_issue_sqe
     1.14%     0.01%  iou-wrk-3153     [kernel.vmlinux]      [k] io_worker_handle_work
     1.14%     0.01%  iou-wrk-3159     [kernel.vmlinux]      [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-3132     [kernel.vmlinux]      [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-3151     [kernel.vmlinux]      [k] io_read
     1.14%     0.00%  iou-wrk-3178     [kernel.vmlinux]      [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-3121     [kernel.vmlinux]      [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-3132     [kernel.vmlinux]      [k] io_read
     1.14%     0.01%  iou-wrk-3181     [kernel.vmlinux]      [k] io_worker_handle_work
     1.14%     0.01%  iou-wrk-3162     [kernel.vmlinux]      [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-3197     [kernel.vmlinux]      [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-3169     [kernel.vmlinux]      [k] io_wqe_worker
     1.14%     0.00%  iou-wrk-3169     [kernel.vmlinux]      [k] ret_from_fork
     1.14%     0.01%  iou-wrk-3164     [kernel.vmlinux]      [k] filemap_read
     1.14%     0.00%  iou-wrk-3152     [kernel.vmlinux]      [k] io_read
     1.14%     0.00%  iou-wrk-3178     [kernel.vmlinux]      [k] io_read
     1.14%     0.01%  iou-wrk-3180     [kernel.vmlinux]      [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-3187     [kernel.vmlinux]      [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-3121     [kernel.vmlinux]      [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-3197     [kernel.vmlinux]      [k] io_issue_sqe
     1.14%     0.01%  iou-wrk-3134     [kernel.vmlinux]      [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-3158     [kernel.vmlinux]      [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-3187     [kernel.vmlinux]      [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-3121     [kernel.vmlinux]      [k] io_read
     1.14%     0.00%  iou-wrk-3197     [kernel.vmlinux]      [k] io_read
     1.14%     0.00%  iou-wrk-3191     [kernel.vmlinux]      [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-3188     [kernel.vmlinux]      [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-3187     [kernel.vmlinux]      [k] io_read
     1.14%     0.00%  iou-wrk-3120     [kernel.vmlinux]      [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-3188     [kernel.vmlinux]      [k] io_issue_sqe
     1.13%     0.00%  iou-wrk-3188     [kernel.vmlinux]      [k] io_read
     1.13%     0.00%  iou-wrk-3135     [kernel.vmlinux]      [k] io_wq_submit_work
     1.13%     0.01%  iou-wrk-3176     [kernel.vmlinux]      [k] io_worker_handle_work
     1.13%     0.00%  iou-wrk-3135     [kernel.vmlinux]      [k] io_issue_sqe
     1.13%     0.00%  iou-wrk-3172     [kernel.vmlinux]      [k] io_worker_handle_work
     1.13%     0.01%  iou-wrk-3157     [kernel.vmlinux]      [k] io_worker_handle_work
     1.13%     0.00%  iou-wrk-3179     [kernel.vmlinux]      [k] io_worker_handle_work
     1.13%     0.00%  iou-wrk-3146     [kernel.vmlinux]      [k] io_worker_handle_work
     1.13%     0.00%  iou-wrk-3135     [kernel.vmlinux]      [k] io_read
     1.13%     0.00%  iou-wrk-3175     [kernel.vmlinux]      [k] io_worker_handle_work
     1.13%     0.00%  iou-wrk-3165     [kernel.vmlinux]      [k] io_worker_handle_work
     1.13%     0.01%  iou-wrk-3139     [kernel.vmlinux]      [k] filemap_read
     1.13%     0.00%  iou-wrk-3192     [kernel.vmlinux]      [k] io_worker_handle_work
     1.13%     0.00%  iou-wrk-3193     [kernel.vmlinux]      [k] io_worker_handle_work
     1.13%     0.01%  iou-wrk-3174     [kernel.vmlinux]      [k] io_worker_handle_work
     1.13%     0.00%  iou-wrk-3125     [kernel.vmlinux]      [k] io_wq_submit_work
     1.13%     0.00%  iou-wrk-3128     [kernel.vmlinux]      [k] io_worker_handle_work
     1.13%     0.00%  iou-wrk-3160     [kernel.vmlinux]      [k] io_worker_handle_work
     1.13%     0.00%  iou-wrk-3141     [kernel.vmlinux]      [k] io_worker_handle_work
     1.13%     0.00%  iou-wrk-3122     [kernel.vmlinux]      [k] io_worker_handle_work
     1.13%     0.01%  iou-wrk-3168     [kernel.vmlinux]      [k] io_worker_handle_work
     1.13%     0.00%  iou-wrk-3125     [kernel.vmlinux]      [k] io_issue_sqe
     1.13%     0.00%  iou-wrk-3183     [kernel.vmlinux]      [k] io_worker_handle_work
     1.13%     0.00%  iou-wrk-3133     [kernel.vmlinux]      [k] io_worker_handle_work
     1.13%     0.00%  iou-wrk-3196     [kernel.vmlinux]      [k] io_wq_submit_work
     1.13%     0.00%  iou-wrk-3125     [kernel.vmlinux]      [k] io_read
     1.13%     0.00%  iou-wrk-3123     [kernel.vmlinux]      [k] io_wq_submit_work
     1.13%     0.00%  iou-wrk-3138     [kernel.vmlinux]      [k] io_wq_submit_work
     1.13%     0.00%  iou-wrk-3196     [kernel.vmlinux]      [k] io_issue_sqe
     1.13%     0.00%  iou-wrk-3131     [kernel.vmlinux]      [k] io_wq_submit_work
     1.13%     0.01%  iou-wrk-3170     [kernel.vmlinux]      [k] io_worker_handle_work
     1.13%     0.00%  iou-wrk-3173     [kernel.vmlinux]      [k] io_worker_handle_work
     1.13%     0.00%  iou-wrk-3124     [kernel.vmlinux]      [k] io_worker_handle_work
     1.13%     0.00%  iou-wrk-3138     [kernel.vmlinux]      [k] io_issue_sqe
     1.13%     0.00%  iou-wrk-3131     [kernel.vmlinux]      [k] io_issue_sqe
     1.13%     0.00%  iou-wrk-3196     [kernel.vmlinux]      [k] io_read
     1.13%     0.01%  iou-wrk-3154     [kernel.vmlinux]      [k] io_worker_handle_work
     1.13%     0.00%  iou-wrk-3163     [kernel.vmlinux]      [k] io_wq_submit_work
     1.13%     0.00%  iou-wrk-3123     [kernel.vmlinux]      [k] io_issue_sqe
     1.13%     0.00%  iou-wrk-3143     [kernel.vmlinux]      [k] io_worker_handle_work
     1.12%     0.00%  iou-wrk-3123     [kernel.vmlinux]      [k] io_read
     1.12%     0.00%  iou-wrk-3138     [kernel.vmlinux]      [k] io_read
     1.12%     0.00%  iou-wrk-3131     [kernel.vmlinux]      [k] io_read
     1.12%     0.00%  iou-wrk-3163     [kernel.vmlinux]      [k] io_issue_sqe
     1.12%     0.01%  iou-wrk-3184     [kernel.vmlinux]      [k] filemap_read
     1.12%     0.01%  iou-wrk-3145     [kernel.vmlinux]      [k] io_worker_handle_work
     1.12%     0.00%  iou-wrk-3177     [kernel.vmlinux]      [k] io_wq_submit_work
     1.12%     0.00%  iou-wrk-3186     [kernel.vmlinux]      [k] io_wq_submit_work
     1.12%     0.00%  iou-wrk-3163     [kernel.vmlinux]      [k] io_read
